NYY, 1970, 150.085889571, 147.0, 26.0154269412, A, NYY
NYY, 1971, 148.327160494, 143.0, 24.0462081523, A, NYY
NYY, 1972, 146.675324675, 142.0, 24.7674595683, A, NYY
NYY, 1973, 146.716049383, 148.0, 19.3143166806, A, NYY
NYY, 1974, 153.679012346, 152.5, 26.0935293812, A, NYY
NYY, 1975, 146.149350649, 142.5, 25.3696777971, A, NYY
NYY, 1976, 150.208860759, 145.0, 31.2314864243, A, NYY
NYY, 1977, nan, nan, 0.0, A, NYY
NYY, 1978, nan, nan, 0.0, A, NYY
NYY, 1979, 150.25625, 146.0, 25.2886453955, A, NYY
NYY, 1980, nan, nan, 0.0, A, NYY
NYY, 1981, nan, nan, 0.0, A, NYY
NYY, 1982, 162.790123457, 157.5, 27.7420730751, A, NYY
NYY, 1983, 162.919753086, 161.0, 24.6681627162, A, NYY
NYY, 1984, 163.660493827, 157.5, 28.3795186928, A, NYY
NYY, 1985, nan, nan, 0.0, A, NYY
NYY, 1986, nan, nan, 0.0, A, NYY
NYY, 1987, 178.080246914, 174.0, 28.0460332344, A, NYY
NYY, 1988, 181.913043478, 178.0, 31.0142005752, A, NYY
NYY, 1989, nan, nan, 0.0, A, NYY
NYY, 1990, 177.086419753, 172.5, 27.589001893, A, NYY
NYY, 1991, 179.685185185, 174.0, 29.5875917065, A, NYY
NYY, 1992, 180.25308642, 178.0, 27.6524532273, A, NYY
NYY, 1993, 177.858024691, 176.0, 24.5590413021, A, NYY
NYY, 1994, nan, nan, 0.0, A, NYY
NYY, 1995, 180.765517241, 178.0, 23.2945202356, A, NYY
NYY, 1996, nan, nan, 0.0, A, NYY
NYY, 1997, 190.87654321, 189.5, 30.0683922951, A, NYY
NYY, 1998, nan, nan, 0.0, A, NYY
NYY, 1999, nan, nan, 0.0, A, NYY
NYY, 2000, nan, nan, 0.0, A, NYY
NYY, 2001, nan, nan, 0.0, A, NYY
NYY, 2002, 189.186335404, 186.0, 30.9929274579, A, NYY
NYY, 2003, nan, nan, 0.0, A, NYY
NYY, 2004, 178.771604938, 176.0, 24.3549560681, A, NYY
NYY, 2005, 182.09375, 181.0, 23.2203566066, A, NYY
NYY, 2006, 187.790123457, 186.5, 23.8297542246, A, NYY
NYY, 2007, nan, nan, 0.0, A, NYY
NYY, 2008, nan, nan, 0.0, A, NYY
NYY, 2009, nan, nan, 0.0, A, NYY
MIL, 1970, 155.687116564, 154.0, 23.471042457, A, MIL
MIL, 1971, 148.813664596, 147.0, 20.003168994, A, MIL
MIL, 1972, 144.070512821, 140.0, 26.6005861174, A, MIL
MIL, 1973, 156.820987654, 155.0, 24.5723683823, A, MIL
MIL, 1974, 147.987421384, 144.0, 25.4528760336, A, MIL
MIL, 1975, 157.339869281, 154.0, 24.9415430017, A, MIL
MIL, 1976, 150.0, 148.0, 23.7172158803, A, MIL
MIL, 1977, 154.302469136, 150.5, 24.9325236317, A, MIL
MIL, 1978, 147.522012579, 145.0, 21.5271764699, A, MIL
MIL, 1979, 157.075949367, 154.0, 28.5946229131, A, MIL
MIL, 1980, 158.024691358, 154.5, 22.9825351343, A, MIL
MIL, 1981, 155.798165138, 150.0, 25.2000363392, A, MIL
MIL, 1982, 162.736196319, 162.0, 22.0509249478, A, MIL
MIL, 1983, 165.271604938, 161.0, 28.7185200045, A, MIL
