ANA, 1970, 154.617283951, 150.0, 24.4308385878, A, CAL
ANA, 1971, 150.87037037, 145.0, 29.1486481674, A, CAL
ANA, 1972, 143.5, 140.0, 21.5406592285, A, CAL
ANA, 1973, 147.808641975, 146.0, 21.7611994582, A, CAL
ANA, 1974, 145.987654321, 143.0, 19.2687259102, A, CAL
ANA, 1975, 152.032467532, 147.5, 28.0218882052, A, CAL
ANA, 1976, 153.754716981, 149.0, 29.3786207684, A, CAL
ANA, 1977, 154.259259259, 151.5, 23.3358611212, A, CAL
ANA, 1978, 158.0625, 152.5, 25.839574179, A, CAL
ANA, 1979, 162.308641975, 158.5, 24.3597735476, A, CAL
ANA, 1980, 163.15625, 159.5, 24.075284753, A, CAL
ANA, 1981, 159.945454545, 155.0, 25.0653097341, A, CAL
ANA, 1982, 162.783950617, 159.0, 30.8706419198, A, CAL
ANA, 1983, 160.75308642, 155.5, 26.6164021018, A, CAL
ANA, 1984, 157.012345679, 154.0, 24.1711969328, A, CAL
ANA, 1985, 170.543209877, 166.5, 28.657642586, A, CAL
ANA, 1986, 170.12962963, 169.0, 25.8366518511, A, CAL
ANA, 1987, 173.469135802, 170.0, 25.1882230073, A, CAL
ANA, 1988, 175.722222222, 173.0, 27.4118677552, A, CAL
ANA, 1989, 170.691358025, 167.5, 28.2373721259, A, CAL
ANA, 1990, 177.728395062, 173.0, 27.404610023, A, CAL
ANA, 1991, 173.302469136, 172.0, 24.3989702035, A, CAL
ANA, 1992, 171.333333333, 168.5, 27.1879602984, A, CAL
ANA, 1993, 173.388888889, 172.5, 27.3796468518, A, CAL
ANA, 1994, 183.686956522, 183.0, 24.9929956161, A, CAL
ANA, 1995, 185.317241379, 184.0, 24.3020372208, A, CAL
ANA, 1996, 183.01242236, 180.0, 28.9808220112, A, CAL
ANA, 1997, 186.49382716, 184.0, 29.4113539245, A, ANA
ANA, 1998, 178.179012346, 177.0, 24.2397755768, A, ANA
ANA, 1999, 171.938271605, 171.0, 21.6186623077, A, ANA
ANA, 2000, 184.969135802, 182.0, 26.6702365295, A, ANA
ANA, 2001, 176.888888889, 176.0, 23.1591381319, A, ANA
ANA, 2002, 179.401234568, 177.0, 27.0695172456, A, ANA
ANA, 2003, 167.456790123, 165.5, 23.4944434632, A, ANA
ANA, 2004, 171.598765432, 169.0, 25.4392182591, A, ANA
ANA, 2005, nan, nan, 0.0, A, ANA
ANA, 2006, nan, nan, 0.0, A, ANA
ANA, 2007, nan, nan, 0.0, A, ANA
ANA, 2008, nan, nan, 0.0, A, ANA
ANA, 2009, nan, nan, 0.0, A, ANA
MIL, 1970, 155.687116564, 154.0, 23.471042457, A, MIL
MIL, 1971, 148.813664596, 147.0, 20.003168994, A, MIL
MIL, 1972, 144.070512821, 140.0, 26.6005861174, A, MIL
MIL, 1973, 156.820987654, 155.0, 24.5723683823, A, MIL
MIL, 1974, 147.987421384, 144.0, 25.4528760336, A, MIL
MIL, 1975, 157.339869281, 154.0, 24.9415430017, A, MIL
MIL, 1976, 150.0, 148.0, 23.7172158803, A, MIL
MIL, 1977, 154.302469136, 150.5, 24.9325236317, A, MIL
MIL, 1978, 147.522012579, 145.0, 21.5271764699, A, MIL
MIL, 1979, 157.075949367, 154.0, 28.5946229131, A, MIL
MIL, 1980, 158.024691358, 154.5, 22.9825351343, A, MIL
MIL, 1981, 155.798165138, 150.0, 25.2000363392, A, MIL
MIL, 1982, 162.736196319, 162.0, 22.0509249478, A, MIL
MIL, 1983, 165.271604938, 161.0, 28.7185200045, A, MIL
MIL, 1984, 160.565217391, 156.0, 32.0032573281, A, MIL
MIL, 1985, 163.596273292, 159.0, 24.7565485112, A, MIL
MIL, 1986, 166.391304348, 165.0, 23.0028823236, A, MIL
MIL, 1987, 176.987654321, 174.0, 26.0540718967, A, MIL
MIL, 1988, 165.777777778, 162.5, 24.8757405746, A, MIL
MIL, 1989, 168.950617284, 166.0, 20.2102536221, A, MIL
MIL, 1990, 176.265432099, 173.0, 28.9219454483, A, MIL
MIL, 1991, 176.672839506, 170.0, 31.9231001633, A, MIL
MIL, 1992, 176.617283951, 173.0, 25.9332323626, A, MIL
MIL, 1993, 175.067901235, 170.0, 31.6327550474, A, MIL
MIL, 1994, 183.156521739, 179.0, 29.3437175868, A, MIL
MIL, 1995, 177.090277778, 176.0, 27.3658123076, A, MIL
MIL, 1996, 181.512345679, 180.0, 26.2803587303, A, MIL
MIL, 1997, 175.254658385, 173.0, 25.5024732702, A, MIL
MIL, 1998, 171.154320988, 165.5, 25.8811554944, N, MIL
MIL, 1999, 184.055900621, 179.0, 26.6831531859, N, MIL
MIL, 2000, 184.312883436, 177.0, 32.6876876827, N, MIL
MIL, 2001, 175.049382716, 174.0, 25.9036206224, N, MIL
MIL, 2002, 170.932098765, 168.5, 22.0572002027, N, MIL
MIL, 2003, 169.913580247, 167.0, 23.0379169641, N, MIL
MIL, 2004, 174.714285714, 172.0, 26.9974529674, N, MIL
MIL, 2005, 173.055900621, 170.0, 25.7882558968, N, MIL
MIL, 2006, 172.401234568, 171.5, 23.6297207385, N, MIL
MIL, 2007, 172.913580247, 171.0, 24.9214556433, N, MIL
MIL, 2008, 175.351851852, 172.5, 25.5626734585, N, MIL
MIL, 2009, 179.530864198, 176.0, 23.9985011979, N, MIL
WSN, 1970, 155.074074074, 152.0, 22.7529825899, N, MON
WSN, 1971, 147.061728395, 144.5, 21.798938517, N, MON
WSN, 1972, 145.432258065, 142.0, 24.1051511975, N, MON
WSN, 1973, 152.537037037, 148.0, 28.1025764139, N, MON
WSN, 1974, 144.279503106, 143.0, 24.0398765977, N, MON
WSN, 1975, 146.881987578, 144.0, 24.5871195088, N, MON
WSN, 1976, 144.49068323, 139.0, 23.884847457, N, MON
WSN, 1977, 152.728395062, 148.0, 30.5381818671, N, MON
WSN, 1978, 148.826086957, 145.0, 24.3702204022, N, MON
WSN, 1979, 155.140127389, 150.0, 26.5858682347, N, MON
WSN, 1980, 161.155279503, 159.0, 24.0314387785, N, MON
WSN, 1981, 155.527777778, 155.0, 24.5449166244, N, MON
WSN, 1982, 159.62345679, 156.0, 22.3855154426, N, MON
WSN, 1983, 160.067484663, 156.0, 27.4584189453, N, MON
WSN, 1984, 159.341614907, 158.0, 21.8453359549, N, MON
WSN, 1985, 161.416149068, 156.0, 26.6631993361, N, MON
WSN, 1986, 169.596273292, 167.0, 26.7159846729, N, MON
WSN, 1987, 167.469135802, 162.5, 25.1118910497, N, MON
WSN, 1988, 170.742331288, 165.0, 29.5673482978, N, MON
WSN, 1989, 174.191358025, 170.0, 28.1048596366, N, MON
WSN, 1990, 174.345679012, 171.0, 28.3643231368, N, MON
WSN, 1991, 174.832298137, 169.0, 33.8816420043, N, MON
WSN, 1992, 174.450617284, 171.0, 29.1767818374, N, MON
WSN, 1993, 171.957055215, 168.0, 25.225692836, N, MON
WSN, 1994, 177.903508772, 173.0, 25.9875035078, N, MON
WSN, 1995, 169.347222222, 167.5, 25.9607929398, N, MON
WSN, 1996, 172.790123457, 169.0, 28.1572813859, N, MON
WSN, 1997, 165.858024691, 163.5, 26.8654322122, N, MON
WSN, 1998, 161.598765432, 159.0, 20.9034995819, N, MON
WSN, 1999, 167.728395062, 166.0, 21.7607713335, N, MON
WSN, 2000, 171.061728395, 170.5, 21.2671692028, N, MON
WSN, 2001, 171.0, 169.0, 24.9545265445, N, MON
WSN, 2002, 174.709876543, 172.5, 25.6295263027, N, MON
WSN, 2003, 169.24691358, 165.0, 24.3127923775, N, MON
WSN, 2004, 171.0, 167.0, 26.0827268892, N, MON
WSN, 2005, 174.737179487, 173.5, 23.8526760794, N, WSN
WSN, 2006, 176.691358025, 174.0, 24.1950112067, N, WSN
WSN, 2007, 175.018518519, 170.0, 29.4897915424, N, WSN
WSN, 2008, 170.0, 168.0, 27.4180880587, N, WSN
WSN, 2009, 174.864197531, 174.0, 26.5631105415, N, WSN
TEX, 1970, 153.271604938, 149.0, 27.4442250759, A, WSA
TEX, 1971, 147.974842767, 146.0, 31.2077537707, A, WSA
TEX, 1972, 150.223684211, 146.0, 25.3279015505, A, TEX
TEX, 1973, 149.672839506, 147.0, 23.3264090908, A, TEX
TEX, 1974, 152.1625, 149.5, 23.8392762841, A, TEX
TEX, 1975, 160.888198758, 157.0, 30.120460801, A, TEX
TEX, 1976, 162.703703704, 160.0, 28.9275145388, A, TEX
TEX, 1977, 162.5, 157.0, 28.0766697227, A, TEX
TEX, 1978, 150.679012346, 149.0, 23.3414415333, A, TEX
TEX, 1979, 149.512345679, 147.0, 22.7450273101, A, TEX
TEX, 1980, 159.159509202, 155.0, 24.8847469433, A, TEX
TEX, 1981, 149.085714286, 144.0, 21.9237267799, A, TEX
TEX, 1982, 151.864197531, 151.5, 19.5762220888, A, TEX
TEX, 1983, 158.190184049, 156.0, 28.8164387618, A, TEX
TEX, 1984, 152.950310559, 148.0, 24.4389977639, A, TEX
TEX, 1985, 162.229813665, 160.0, 19.6772872339, A, TEX
TEX, 1986, 173.62345679, 171.5, 23.4933705995, A, TEX
TEX, 1987, 178.907407407, 176.0, 26.4493005708, A, TEX
TEX, 1988, 175.248447205, 172.0, 27.9384930159, A, TEX
TEX, 1989, 179.203703704, 176.0, 22.1627367413, A, TEX
TEX, 1990, 177.302469136, 173.0, 26.0891372093, A, TEX
TEX, 1991, 185.191358025, 178.0, 32.2066119181, A, TEX
TEX, 1992, 181.012345679, 177.0, 32.2281580077, A, TEX
TEX, 1993, 178.351851852, 174.0, 27.9323415855, A, TEX
TEX, 1994, 191.561403509, 193.0, 29.6076789138, A, TEX
TEX, 1995, 178.729166667, 177.5, 25.843336437, A, TEX
TEX, 1996, 180.662576687, 179.0, 26.4717051998, A, TEX
TEX, 1997, 177.302469136, 175.0, 24.0760342665, A, TEX
TEX, 1998, 175.592592593, 173.5, 24.9895176927, A, TEX
TEX, 1999, 176.388888889, 175.5, 21.6886640471, A, TEX
TEX, 2000, 185.549382716, 180.0, 22.700968726, A, TEX
TEX, 2001, 184.166666667, 182.0, 25.8531584622, A, TEX
TEX, 2002, 185.395061728, 182.5, 25.0501615344, A, TEX
TEX, 2003, 173.722222222, 173.0, 23.6424628451, A, TEX
TEX, 2004, 171.030864198, 168.5, 25.5551745961, A, TEX
TEX, 2005, 171.325, 169.5, 24.6423289281, A, TEX
TEX, 2006, 169.339506173, 167.0, 22.2183784399, A, TEX
TEX, 2007, 178.62962963, 179.0, 26.89506102, A, TEX
TEX, 2008, 182.0, 178.0, 27.8942004681, A, TEX
TEX, 2009, 171.055555556, 168.5, 22.0835255058, A, TEX
